count,username,name,user_id,trunc_date
36,AAVFUTURO,AAV,945599509,2020-03-30T22:00:00Z
43,AAVFUTURO,AAV,945599509,2020-03-30T21:00:00Z
23,AbaloDelgado,Abalo Delgado,3037004608,2020-03-31T09:00:00Z
29,AbaloDelgado,Abalo Delgado,3037004608,2020-03-30T21:00:00Z
31,AbaloDelgado,Abalo Delgado,3037004608,2020-03-30T14:00:00Z
12,AbaloDelgado,Abalo Delgado,3037004608,2020-03-30T12:00:00Z
34,AbaloDelgado,Abalo Delgado,3037004608,2020-03-30T11:00:00Z
23,AbaloDelgado,Abalo Delgado,3037004608,2020-03-30T10:00:00Z
11,AbaloDelgado,Abalo Delgado,3037004608,2020-03-30T09:00:00Z
29,AbaloDelgado,Abalo Delgado,3037004608,2020-03-30T07:00:00Z
17,aBeLiYo_o,Abel,324393058,2020-03-30T13:00:00Z
12,aBeLiYo_o,Abel,324393058,2020-03-30T09:00:00Z
12,aBeLiYo_o,Abel,324393058,2020-03-30T08:00:00Z
11,aBeLiYo_o,Abel,324393058,2020-03-30T07:00:00Z
14,AdriAnayaGarcia,Adrián Anaya García,239981806,2020-03-30T10:00:00Z
38,Adriian1407,Adrián 🇪🇸,726788233527480321,2020-03-30T04:00:00Z
42,Adriian1407,Adrián 🇪🇸,726788233527480321,2020-03-30T01:00:00Z
14,AdrinAT7,Adrián,1236301843564826631,2020-03-30T20:00:00Z
18,AdrinAT7,Adrián,1236301843564826631,2020-03-30T15:00:00Z
15,AdrinAT7,Adrián,1236301843564826631,2020-03-30T13:00:00Z
34,AETHERIAIMPERA1,AETHERIAIMPERATRIX,1184920600609021952,2020-03-31T09:00:00Z
31,AETHERIAIMPERA1,AETHERIAIMPERATRIX,1184920600609021952,2020-03-30T20:00:00Z
25,AETHERIAIMPERA1,AETHERIAIMPERATRIX,1184920600609021952,2020-03-30T19:00:00Z
13,AETHERIAIMPERA1,AETHERIAIMPERATRIX,1184920600609021952,2020-03-30T18:00:00Z
25,AETHERIAIMPERA1,AETHERIAIMPERATRIX,1184920600609021952,2020-03-30T16:00:00Z
12,AETHERIAIMPERA1,AETHERIAIMPERATRIX,1184920600609021952,2020-03-30T15:00:00Z
32,AETHERIAIMPERA1,AETHERIAIMPERATRIX,1184920600609021952,2020-03-30T12:00:00Z
17,AfonsoGalle,Sra. de GONZÁLEZ,926979151126519811,2020-03-31T00:00:00Z
36,AfonsoGalle,Sra. de GONZÁLEZ,926979151126519811,2020-03-30T22:00:00Z
13,AfonsoGalle,Sra. de GONZÁLEZ,926979151126519811,2020-03-30T21:00:00Z
21,ajjp446733,Antonio José Jurado,3039065698,2020-03-30T19:00:00Z
48,ajjp446733,Antonio José Jurado,3039065698,2020-03-30T18:00:00Z
18,ajjp446733,Antonio José Jurado,3039065698,2020-03-30T12:00:00Z
18,ajjp446733,Antonio José Jurado,3039065698,2020-03-30T10:00:00Z
12,akesha37,Crisi 🇪🇸 🦇💯,2751948177,2020-03-30T20:00:00Z
21,akesha37,Crisi 🇪🇸 🦇💯,2751948177,2020-03-30T13:00:00Z
23,akesha37,Crisi 🇪🇸 🦇💯,2751948177,2020-03-30T12:00:00Z
18,akesha37,Crisi 🇪🇸 🦇💯,2751948177,2020-03-30T00:00:00Z
12,AlamedaSanti,Santi_Alameda,1197768842069630977,2020-03-31T11:00:00Z
17,AlamedaSanti,Santi_Alameda,1197768842069630977,2020-03-31T09:00:00Z
12,AlamedaSanti,Santi_Alameda,1197768842069630977,2020-03-30T13:00:00Z
